ISO_Code,COLI
BHS,189.45
YEM,175.41
CMR,172.75
PNG,169.21
CUB,168.5
ISL,164.84
CYM,162.94
CHE,161.61
COD,154.39
CIV,151.12
NOR,141.3
JAM,140.98
VEN,139.97
SEN,139.61
ETH,138.22
LUX,135.11
DNK,134.27
LKA,129.86
IMN,129.79
ISR,128.99
SGP,128.56
GGY,128.06
USA,128.03
URY,127.21
NLD,126.67
IRL,126.4
GUY,125.65
AUT,125.44
CRI,125.17
BEL,124.93
FIN,124.42
FRA,124.37
AUS,123.87
TTO,123.14
CAN,122.28
SWE,121.68
GBR,121.21
HKG,120.44
DEU,120.06
NZL,119.83
ITA,119.66
GHA,118.55
GRC,118.31
MLT,117.75
KOR,117.62
PAN,116.87
PRI,116.54
ALB,114.84
EST,114.61
CYP,114.02
GTM,112.92
MAC,112.41
NGA,110.76
SLV,110.26
ARG,108.32
MDV,108.0
KWT,107.48
QAT,107.21
NIC,107.16
BRN,106.84
ARM,106.54
SVN,105.77
LVA,105.61
LBN,104.77
ESP,104.74
MEX,104.51
ARE,104.34
HRV,104.28
SYR,104.26
LTU,104.15
PRT,103.48
PSE,103.17
ZWE,103.14
TWN,102.77
JPN,102.52
DOM,102.39
OMN,102.32
KHM,102.16
BHR,100.25
SVK,100.1
CZE,97.43
BLZ,97.32
HND,97.28
MOZ,97.19
SRB,97.06
SAU,96.9
MNE,96.05
CHL,95.66
HUN,95.11
TUR,94.48
POL,94.44
BGR,94.02
MUS,93.77
UGA,93.29
FJI,93.22
ROU,92.86
TJK,92.17
MNG,91.9
GEO,91.88
JOR,91.25
RUS,90.01
THA,88.87
ZMB,88.05
AZE,87.1
KEN,85.97
BIH,85.27
MDA,84.65
PER,83.63
ZAF,82.52
PHL,82.46
MAR,81.55
DZA,81.52
MYS,81.5
MKD,80.87
ECU,80.75
COL,80.28
,80.17
MDG,80.12
TUN,79.31
RWA,79.28
BRA,78.41
IDN,78.15
BWA,77.29
KAZ,76.71
CHN,75.88
KGZ,74.12
XKX,73.55
UKR,73.54
BLR,72.99
BOL,72.53
UZB,72.36
IRQ,72.16
VNM,71.84
NPL,70.43
TZA,70.16
EGY,70.12
BGD,67.39
PRY,65.65
IND,62.99
IRN,61.55
LBY,56.06
PAK,55.67
AFG,53.58
